,average_degree,density,longest_path,degree_centralization,betweenness_centralization,003,012,021D,021U,021C,030T,dominant_topic
811943826,1.972027972027972,0.0034596981965403016,0.04895104895104895,0.08843587842846554,0.0017795291292228596,13212.646853146853,274.7307692307692,0.05244755244755245,1.7727272727272727,0.7447552447552448,0.05244755244755245,0
811944400,2.230508474576271,0.0037933817594834546,0.0847457627118644,0.08824963432471965,0.0081686432321762,14033.498305084746,320.3423728813559,0.17627118644067796,1.735593220338983,1.1389830508474577,0.10847457627118644,0
811951243,1.9859154929577465,0.003508684616533121,0.10211267605633803,0.08545723379194546,0.00443987446943997,13023.521126760563,274.97535211267603,0.15140845070422534,1.4894366197183098,0.8309859154929577,0.03169014084507042,4
811952526,2.013245033112583,0.003344260852346483,0.013245033112582781,0.8026135105204872,5.231730334102287e-05,14844.874172185431,108.26821192052981,0.006622516556291391,96.64238410596026,0.2052980132450331,0.0033112582781456954,2
811953231,2.032128514056225,0.004097033294468195,0.05220883534136546,0.1827902572809194,0.0008648922343881015,9964.064257028112,239.6425702811245,0.13253012048192772,4.586345381526105,0.8353413654618473,0.07228915662650602,0
811953387,2.398576512455516,0.004283172343670564,0.09608540925266904,0.06690988223246287,0.006297865920561761,12688.419928825622,328.7508896797153,0.16370106761565836,1.0320284697508897,1.4412811387900355,0.19217081850533807,0
811956185,2.130434782608696,0.003873517786561265,0.13043478260869565,0.13138686131386862,0.011138179405200009,12270.63768115942,283.5326086956522,0.2898550724637681,2.851449275362319,1.0108695652173914,0.010869565217391304,4
811956229,2.2868852459016393,0.004705525197328476,0.06967213114754098,0.06934666530626127,0.0014933668340161236,9526.795081967213,271.91803278688525,0.0942622950819672,0.8565573770491803,1.1147540983606556,0.22131147540983606,0
811956783,1.8923076923076922,0.003653103653103653,0.08076923076923077,0.08991050851515968,0.0020835622882852825,10895.073076923078,239.76538461538462,0.05384615384615385,1.376923076923077,0.7115384615384616,0.019230769230769232,4
811957405,2.0364963503649633,0.0037298467955402263,0.09854014598540146,0.10318358112475759,0.0062477653783406676,12101.956204379561,271.15328467153284,0.10583941605839416,1.854014598540146,0.9014598540145985,0.029197080291970802,0
811957429,1.8316498316498318,0.003094003094003094,0.02356902356902357,0.08560467246907925,0.00026494657736068607,14285.882154882154,264.7845117845118,0.5084175084175084,1.7239057239057238,0.3838383838383838,0.050505050505050504,0
811957758,1.7454545454545454,0.0031851360318513604,0.03272727272727273,0.052405015908665545,0.001757925595103927,12230.861818181818,234.0218181818182,0.01818181818181818,1.6145454545454545,0.48363636363636364,0.0,1
811959126,2.013937282229965,0.003520869374527911,0.06968641114982578,0.15839774260826892,0.002083746213300868,13303.076655052264,276.9024390243902,0.1289198606271777,3.975609756097561,0.8745644599303136,0.041811846689895474,0
